league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
Bundesliga,Bayer 04 Leverkusen,15,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2025,€16.41m,€426.75m,16410000.0,426750000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Eintracht Frankfurt,24,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2025,€13.71m,€383.90m,13710000.0,383900000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,RB Leipzig,23826,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2025,€12.63m,€366.25m,12630000.0,366250000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,VfB Stuttgart,79,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2025,€10.61m,€339.43m,10610000.0,339430000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,VfL Wolfsburg,82,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2025,€8.69m,€251.90m,8690000.0,251900000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,SV Werder Bremen,86,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2025,€5.74m,€177.80m,5740000.0,177800000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,TSG 1899 Hoffenheim,533,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2025,€5.23m,€172.55m,5230000.0,172550000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,SC Freiburg,60,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2025,€6.03m,€162.70m,6030000.0,162700000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FSV Mainz 05,39,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2025,€5.43m,€157.58m,5430000.0,157580000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Borussia Mönchengladbach,18,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2025,€5.14m,€154.18m,5140000.0,154180000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
