club,league_name,country_name,average_rating,coach_name,stadium_name
FC St.Gallen 1879,Super League,Switzerland,68,enrico maassen,Stadion Neder
KV Mechelen,Belgian Pro League,Belgium,68,frederik vanderbiest,Stadion Europa
CD Tondela,Primeira Liga,Portugal,68,ivo ricardo abreu vieira,Town Park
AVS Futebol SAD,Primeira Liga,Portugal,68,jose albano ferreira da mota,Euro Park
SK Brann,Eliteserien,Norway,68,freyr alexandersson,Molton Road
Pogoń Szczecin,Ekstraklasa,Poland,68,thomas thomasberg,Stadion Neder
Shanghai Port,Super League,China PR,68,kevin muscat,Stadion Olympik
Royal Charleroi Sporting Club,Belgian Pro League,Belgium,68,rik demil,Court Lane
Göztepe SK,Turkish Süper Lig,Türkiye,68,stanimir kolev stoilov,Forest Park Stadium (Square Ground)
SpVgg Greuther Fürth,2. Bundesliga,Germany,68,thomas kleine,Sportpark Ronhof Thomas Sommer
